GEOID10,CBSA,METRO_NAME,HRS2010,INTERVAL2010
47065010502,16860,"Chattanooga, TN-GA",1.00,1
40143004101,46140,"Tulsa, OK",1.00,1
29189216500,41180,"St. Louis, MO-IL",1.00,1
41005020100,38900,"Portland-Vancouver-Hillsboro,",1.00,1
48439102201,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
12086006706,33100,Miami-Fort Lauderdale-West Pal,1.00,1
37119002702,16740,"Charlotte-Concord-Gastonia, NC",1.00,1
42079201000,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
48439104202,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
39113020400,19380,"Dayton, OH",1.00,1
48453001606,12420,"Austin-Round Rock, TX",1.00,1
12031013000,27260,"Jacksonville, FL",1.00,1
06037571300,31100,"Los Angeles-Long Beach, CA",1.00,1
48113008100,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
12103024001,45300,Tampa-St. Petersburg-Clearwate,1.00,1
49035104400,41620,"Salt Lake City, UT",1.00,1
42079212800,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
06037141700,31100,"Los Angeles-Long Beach, CA",1.00,1
48201410800,26420,Houston-The Woodlands-Sugar La,1.00,1
48113007604,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
37067002502,49180,"Winston-Salem, NC",1.00,1
09003497700,25540,Hartford-West Hartford-East Ha,1.00,1
36081074100,35620,"New York-Newark-Jersey City, N",1.00,1
06037261102,31100,"Los Angeles-Long Beach, CA",1.00,1
48439105403,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
42041010500,25420,"Harrisburg-Carlisle, PA",1.00,1
48029180604,41700,"San Antonio-New Braunfels, TX",1.00,1
42071011802,29540,"Lancaster, PA",1.00,1
42133010510,49620,"York-Hanover, PA",1.00,1
01073010804,13820,"Birmingham-Hoover, AL",1.00,1
42091202302,37980,Philadelphia-Camden-Wilmington,1.01,1
39035183606,17460,"Cleveland-Elyria, OH",1.01,1
40109102000,36420,"Oklahoma City, OK",1.01,1
40143001700,46140,"Tulsa, OK",1.01,1
29189216400,41180,"St. Louis, MO-IL",1.01,1
36119006801,35620,"New York-Newark-Jersey City, N",1.01,1
36119002103,35620,"New York-Newark-Jersey City, N",1.01,1
39095007600,45780,"Toledo, OH",1.01,1
06037194300,31100,"Los Angeles-Long Beach, CA",1.01,1
42101020800,37980,Philadelphia-Camden-Wilmington,1.01,1
20173001000,48620,"Wichita, KS",1.01,1
42003473401,38300,"Pittsburgh, PA",1.01,1
39035187105,17460,"Cleveland-Elyria, OH",1.01,1
20091050800,28140,"Kansas City, MO-KS",1.01,1
48029180101,41700,"San Antonio-New Braunfels, TX",1.01,1
36005029301,35620,"New York-Newark-Jersey City, N",1.01,1
36119002105,35620,"New York-Newark-Jersey City, N",1.01,1
06037262100,31100,"Los Angeles-Long Beach, CA",1.01,1
18141003200,43780,"South Bend-Mishawaka, IN-MI",1.01,1
42091204600,37980,Philadelphia-Camden-Wilmington,1.01,1
06037141302,31100,"Los Angeles-Long Beach, CA",1.01,1
40109102100,36420,"Oklahoma City, OK",1.01,1
08031004303,19740,"Denver-Aurora-Lakewood, CO",1.01,1
04013111900,38060,"Phoenix-Mesa-Scottsdale, AZ",1.01,1
22017023100,43340,"Shreveport-Bossier City, LA",1.01,1
36005032300,35620,"New York-Newark-Jersey City, N",1.02,1
19153001000,19780,"Des Moines-West Des Moines, IA",1.02,1
13051000900,42340,"Savannah, GA",1.02,1
49057201400,36260,"Ogden-Clearfield, UT",1.02,1
36001001902,10580,"Albany-Schenectady-Troy, NY",1.02,1
51740210400,47260,Virginia Beach-Norfolk-Newport,1.02,1
06037481902,31100,"Los Angeles-Long Beach, CA",1.02,1
06037464100,31100,"Los Angeles-Long Beach, CA",1.02,1
12086006705,33100,Miami-Fort Lauderdale-West Pal,1.02,1
42079212300,42540,Scranton--Wilkes-Barre--Hazlet,1.02,1
42091202500,37980,Philadelphia-Camden-Wilmington,1.02,1
42079200900,42540,Scranton--Wilkes-Barre--Hazlet,1.02,1
36055007802,40380,"Rochester, NY",1.02,1
13121009900,12060,"Atlanta-Sandy Springs-Roswell,",1.02,1
34007602000,37980,Philadelphia-Camden-Wilmington,1.02,1
12086003915,33100,Miami-Fort Lauderdale-West Pal,1.02,1
24510270901,12580,"Baltimore-Columbia-Towson, MD",1.03,1
40109101700,36420,"Oklahoma City, OK",1.03,1
42101038600,37980,Philadelphia-Camden-Wilmington,1.03,1
34013019400,35620,"New York-Newark-Jersey City, N",1.03,1
21037052302,17140,"Cincinnati, OH-KY-IN",1.03,1
13051002200,42340,"Savannah, GA",1.03,1
27053011704,33460,Minneapolis-St. Paul-Bloomingt,1.03,1
05119003305,30780,Little Rock-North Little Rock-,1.03,1
21111007501,31140,"Louisville/Jefferson County, K",1.03,1
42003140200,38300,"Pittsburgh, PA",1.04,1
36119004400,35620,"New York-Newark-Jersey City, N",1.04,1
26163574800,19820,"Detroit-Warren-Dearborn, MI",1.04,1
27053011703,33460,Minneapolis-St. Paul-Bloomingt,1.04,1
42079212700,42540,Scranton--Wilkes-Barre--Hazlet,1.04,1
06037265601,31100,"Los Angeles-Long Beach, CA",1.04,1
36085003900,35620,"New York-Newark-Jersey City, N",1.04,1
39049006500,18140,"Columbus, OH",1.04,1
24510270903,12580,"Baltimore-Columbia-Towson, MD",1.04,1
37081010404,24660,"Greensboro-High Point, NC",1.04,1
26163551100,19820,"Detroit-Warren-Dearborn, MI",1.04,1
12086003919,33100,Miami-Fort Lauderdale-West Pal,1.04,1
06037430701,31100,"Los Angeles-Long Beach, CA",1.04,1
09003503800,25540,Hartford-West Hartford-East Ha,1.04,1
09001030300,14860,"Bridgeport-Stamford-Norwalk, C",1.05,1
34013019500,35620,"New York-Newark-Jersey City, N",1.05,1
27053010700,33460,Minneapolis-St. Paul-Bloomingt,1.05,1
36047004400,35620,"New York-Newark-Jersey City, N",1.05,1
48113000100,19100,"Dallas-Fort Worth-Arlington, T",1.05,1
06073008311,41740,"San Diego-Carlsbad, CA",1.05,1
39153507202,10420,"Akron, OH",1.05,1
06037463800,31100,"Los Angeles-Long Beach, CA",1.05,1
17167002100,44100,"Springfield, IL",1.05,1
21111013100,31140,"Louisville/Jefferson County, K",1.06,1
36061027300,35620,"New York-Newark-Jersey City, N",1.06,1
26163501200,19820,"Detroit-Warren-Dearborn, MI",1.06,1
42091202401,37980,Philadelphia-Camden-Wilmington,1.06,1
48201410701,26420,Houston-The Woodlands-Sugar La,1.06,1
48029180102,41700,"San Antonio-New Braunfels, TX",1.06,1
06001421200,41860,"San Francisco-Oakland-Hayward,",1.06,1
34013016200,35620,"New York-Newark-Jersey City, N",1.06,1
